src/entity/Entity.java:1:	ExcessivePublicCount:	ExcessivePublicCount: This class has a bunch of public methods and attributes
src/entity/Entity.java:14:	CommentRequired:	CommentRequired: Class comments are required
src/entity/Entity.java:14:	GodClass:	GodClass: Possible God Class (WMC=53, ATFD=22, TCC=6.667%)
src/entity/Entity.java:14:	ModifiedCyclomaticComplexity:	ModifiedCyclomaticComplexity: The class 'Entity' has a Modified Cyclomatic Complexity of 3 (Highest = 11).
src/entity/Entity.java:14:	StdCyclomaticComplexity:	StdCyclomaticComplexity: The class 'Entity' has a Standard Cyclomatic Complexity of 3 (Highest = 14).
src/entity/Entity.java:14:	TooManyFields:	TooManyFields: Too many fields
src/entity/Entity.java:14:	TooManyMethods:	TooManyMethods: This class has too many methods, consider refactoring it.
src/entity/Entity.java:16:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the gp field if you want a default access modifier
src/entity/Entity.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/entity/Entity.java:16:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/entity/Entity.java:16:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/entity/Entity.java:20:	OneDeclarationPerLine:	OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.
src/entity/Entity.java:22:	CommentSize:	CommentSize: Comment is too large: Line too long
src/entity/Entity.java:26:	CommentSize:	CommentSize: Comment is too large: Line too long
src/entity/Entity.java:28:	OneDeclarationPerLine:	OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.
src/entity/Entity.java:32:	AvoidDuplicateLiterals:	AvoidDuplicateLiterals: The String literal "down" appears 5 times in this file; the first occurrence is on line 32
src/entity/Entity.java:36:	RedundantFieldInitializer:	RedundantFieldInitializer: Avoid using redundant field initializer for 'spriteCounter'
src/entity/Entity.java:40:	RedundantFieldInitializer:	RedundantFieldInitializer: Avoid using redundant field initializer for 'spriteNum'
src/entity/Entity.java:42:	CommentSize:	CommentSize: Comment is too large: Line too long
src/entity/Entity.java:48:	OneDeclarationPerLine:	OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.
src/entity/Entity.java:50:	CommentSize:	CommentSize: Comment is too large: Line too long
src/entity/Entity.java:52:	RedundantFieldInitializer:	RedundantFieldInitializer: Avoid using redundant field initializer for 'collision'
src/entity/Entity.java:56:	RedundantFieldInitializer:	RedundantFieldInitializer: Avoid using redundant field initializer for 'actionLockCounter'
src/entity/Entity.java:60:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the dialogues field if you want a default access modifier
src/entity/Entity.java:60:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/entity/Entity.java:64:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the dialougeIndex field if you want a default access modifier
src/entity/Entity.java:64:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/entity/Entity.java:64:	RedundantFieldInitializer:	RedundantFieldInitializer: Avoid using redundant field initializer for 'dialougeIndex'
src/entity/Entity.java:83:	CommentSize:	CommentSize: Comment is too large: Line too long
src/entity/Entity.java:109:	FieldNamingConventions:	FieldNamingConventions: The field name 'INT' doesn't match '[a-z][a-zA-Z0-9]*'
src/entity/Entity.java:109:	SuspiciousConstantFieldName:	SuspiciousConstantFieldName: The field name indicates a constant but its modifiers do not
src/entity/Entity.java:109:	VariableNamingConventions:	VariableNamingConventions: Variables should start with a lowercase character, 'INT' starts with uppercase character.
src/entity/Entity.java:133:	FieldNamingConventions:	FieldNamingConventions: The field name 'INTMOD' doesn't match '[a-z][a-zA-Z0-9]*'
src/entity/Entity.java:133:	SuspiciousConstantFieldName:	SuspiciousConstantFieldName: The field name indicates a constant but its modifiers do not
src/entity/Entity.java:133:	VariableNamingConventions:	VariableNamingConventions: Variables should start with a lowercase character, 'INTMOD' starts with uppercase character.
src/entity/Entity.java:189:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'gp' is not assigned and could be declared final
src/entity/Entity.java:189:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/entity/Entity.java:193:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/entity/Entity.java:193:	UncommentedEmptyMethodBody:	UncommentedEmptyMethodBody: Document empty method body
src/entity/Entity.java:204:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/entity/Entity.java:211:	AvoidDuplicateLiterals:	AvoidDuplicateLiterals: The String literal "left" appears 4 times in this file; the first occurrence is on line 211
src/entity/Entity.java:212:	AvoidDuplicateLiterals:	AvoidDuplicateLiterals: The String literal "right" appears 4 times in this file; the first occurrence is on line 212
src/entity/Entity.java:226:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/entity/Entity.java:227:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/entity/Entity.java:228:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/entity/Entity.java:231:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Entity.java:232:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/entity/Entity.java:240:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Entity.java:244:	AvoidDeeplyNestedIfStmts:	AvoidDeeplyNestedIfStmts: Deeply nested if..then statements are hard to read
src/entity/Entity.java:244:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Entity.java:255:	CognitiveComplexity:	CognitiveComplexity: The method 'draw(Graphics2D)' has a cognitive complexity of 28, current threshold is 15
src/entity/Entity.java:255:	CyclomaticComplexity:	CyclomaticComplexity: The method 'draw(Graphics2D)' has a cyclomatic complexity of 17.
src/entity/Entity.java:255:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'g2' is not assigned and could be declared final
src/entity/Entity.java:255:	ModifiedCyclomaticComplexity:	ModifiedCyclomaticComplexity: The method 'draw' has a Modified Cyclomatic Complexity of 11.
src/entity/Entity.java:255:	ShortVariable:	ShortVariable: Avoid variables with short names like g2
src/entity/Entity.java:255:	StdCyclomaticComplexity:	StdCyclomaticComplexity: The method 'draw' has a Standard Cyclomatic Complexity of 14.
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '257'-'270').
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '257'-'273').
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '257'-'279').
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '257'-'282').
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '257'-'288').
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '257'-'291').
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '257'-'297').
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '257'-'300').
src/entity/Entity.java:257:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'image' (lines '257'-'307').
src/entity/Entity.java:259:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'screenX' (lines '259'-'307').
src/entity/Entity.java:259:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'screenX' could be declared final
src/entity/Entity.java:260:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'screenY' (lines '260'-'307').
src/entity/Entity.java:260:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'screenY' could be declared final
